"","Dates","Flow","Conc","lnQ","lnC","Reg_Residuals","Special_Residuals","Reg_Pvalue","Special_Span","Special_Pvalue","Reg_Perc_Change_yr","Special_Perc_Change_yr"
"1",2009-07-07,8.7,7.315,2.16332302566054,1.98992703447209,-0.0230513713722533,-0.0052235524383959,0.209647922736013,0.75,0.227867071455711,-0.804134104903653,-0.778813781465715
"2",2009-07-14,7.2,7.172,1.97408102602201,1.97018455574289,-0.0287864775598166,-0.0359072147625907,NA,NA,NA,NA,NA
"3",2009-07-21,9,6.816,2.19722457733622,1.91927278952701,-0.0892876397090199,-0.0747793784914297,NA,NA,NA,NA,NA
"4",2009-07-28,7,7.3,1.94591014905531,1.98787434815435,-0.0125298163216812,-0.0197891456086765,NA,NA,NA,NA,NA
"5",2009-08-04,6.4,7.252,1.85629799036563,1.9812772928926,-0.0307445773592661,-0.0328488229005051,NA,NA,NA,NA,NA
"6",2009-08-11,8,7.122,2.07944154167984,1.96318858485559,-0.0531331145776481,-0.0369528113791282,NA,NA,NA,NA,NA
"7",2009-08-18,6.6,7.176,1.88706964903238,1.97074212475649,-0.0372552133786228,-0.0408123774854068,NA,NA,NA,NA,NA
"8",2009-08-25,5.7,7.341,1.7404661748405,1.99347507312864,-0.0272422294324766,-0.0357331392162454,NA,NA,NA,NA,NA
"9",2009-09-01,6,7.419,1.79175946922805,2.00404427720739,-0.0148867412449043,-0.0179334791065693,NA,NA,NA,NA,NA
"10",2009-09-08,6,11.841,1.79175946922805,2.47156808534882,0.452637066896526,0.449590329034861,NA,NA,NA,NA,NA
"11",2009-09-15,8.2,7.468,2.10413415427021,2.01062722567948,-0.00718477063995504,0.0122240951447452,NA,NA,NA,NA,NA
"12",2009-09-22,19,7.448,2.94443897916644,2.00794553997477,0.10435331091019,0.101904509563185,NA,NA,NA,NA,NA
"13",2009-09-29,6.6,7.419,1.88706964903238,2.00404427720739,-0.00395306092772296,-0.00751022503450693,NA,NA,NA,NA,NA
"14",2009-10-06,6.1,7.407,1.80828877117927,2.00242549903115,-0.0146518050801836,-0.0172682125823034,NA,NA,NA,NA,NA
"15",2009-10-09,334,2.605,5.8111409929767,0.95743267520533,-0.3192536061581,-0.328390851384842,NA,NA,NA,NA,NA
"16",2009-10-13,42,5.302,3.73766961828337,1.66808410786683,-0.0987693287976179,-0.0938387658918527,NA,NA,NA,NA,NA
"17",2009-10-20,22,5.709,3.09104245335832,1.74204387698212,-0.136954925378837,-0.138957341090608,NA,NA,NA,NA,NA
"18",2009-10-27,148,5.783,4.99721227376411,1.75492257917608,0.284193164941865,0.276437207793051,NA,NA,NA,NA,NA
"19",2009-11-03,81,5.568,4.39444915467244,1.71703592303212,0.0933759846269397,0.0969900919523945,NA,NA,NA,NA,NA
"20",2009-11-10,13,6.091,2.56494935746154,1.80681227185435,-0.158444434224906,-0.157000144391363,NA,NA,NA,NA,NA
"21",2009-11-17,10,6.577,2.30258509299405,1.88357871431921,-0.112407501985485,-0.107540354187567,NA,NA,NA,NA,NA
"22",2009-11-23,9.3,13.4205,2.23001440015921,2.59678338867362,0.592673622264722,0.603554456588189,NA,NA,NA,NA,NA
"23",2009-12-01,7.9,6.876,2.06686275947298,1.9280370875206,-0.0861783995394829,-0.0729116100028826,NA,NA,NA,NA,NA
"24",2009-12-08,7.9,6.934,2.06686275947298,1.93643684726283,-0.0777786397972531,-0.0645118502606528,NA,NA,NA,NA,NA
"25",2009-12-15,7.2,7.12,1.97408102602201,1.96290772542388,-0.0360633078788266,-0.0431840450816008,NA,NA,NA,NA,NA
"26",2009-12-21,8.2,7.562,2.10413415427021,2.02313570546874,0.00532370914930524,0.0247325749340055,NA,NA,NA,NA,NA
"27",2009-12-29,10,7.219,2.30258509299405,1.97671643915702,-0.0192697771476746,-0.0144026293497574,NA,NA,NA,NA,NA
"28",2010-01-05,10,7.05,2.30258509299405,1.95302761682418,-0.0429585994805146,-0.0380914516825974,NA,NA,NA,NA,NA
"29",2010-01-12,8.3,7.118,2.11625551480255,1.962626787088,-0.0546555195386274,-0.0349232720583277,NA,NA,NA,NA,NA
"30",2010-01-19,8.4,7.31,2.12823170584927,1.98924327376169,-0.0272473870437826,-0.00756920454822319,NA,NA,NA,NA,NA
"31",2010-01-26,13,6.878,2.56494935746154,1.92832791201007,-0.036928794069186,-0.0354845042356429,NA,NA,NA,NA,NA
"32",2010-02-03,15,7.194,2.70805020110221,1.97324734527343,0.0311416812875842,0.0296850524559069,NA,NA,NA,NA,NA
"33",2010-02-10,27,6.264,3.29583686600433,1.8348189586885,-0.00800848756634021,-0.0100484352323769,NA,NA,NA,NA,NA
"34",2010-02-16,16,6.433,2.77258872223978,1.86144099242886,-0.0702138232703136,-0.0723198784819974,NA,NA,NA,NA,NA
"35",2010-02-23,17,6.887,2.83321334405622,1.92963557656256,0.00782350733916681,0.00540673554517368,NA,NA,NA,NA,NA
"36",2010-03-02,12,7.011,2.484906649788,1.94748034422483,-0.0295375201222712,-0.0266324703267908,NA,NA,NA,NA,NA
"37",2010-03-08,14,11.856,2.63905732961526,2.47283406855373,0.519549022349684,0.519235558432542,NA,NA,NA,NA,NA
"38",2010-03-16,9.6,7.043,2.26176309847379,1.95203421576327,-0.0483071944057529,-0.0404087770867343,NA,NA,NA,NA,NA
"39",2010-03-22,42,6.899,3.73766961828337,1.93137647356397,0.164523036899522,0.169453599805287,NA,NA,NA,NA,NA
"40",2010-03-30,72,5.351,4.27666611901606,1.67728345932917,0.0240634066408174,0.0305439605825903,NA,NA,NA,NA,NA
"41",2010-04-07,48,6.019,3.87120101090789,1.79492113256563,0.0510659481333486,0.0602811790687685,NA,NA,NA,NA,NA
"42",2010-04-13,38,6.3035,3.63758615972639,1.84110503468919,0.0578976796297355,0.0593725618926386,NA,NA,NA,NA,NA
"43",2010-04-20,34,6.62,3.52636052461616,1.89009536994892,0.0886475399796878,0.0870438792883244,NA,NA,NA,NA,NA
"44",2010-04-27,35,6.681,3.55534806148941,1.89926767694334,0.102631511954055,0.101698881290871,NA,NA,NA,NA,NA
"45",2010-05-04,32,6.708,3.46573590279973,1.90330084396096,0.0915481529303634,0.088956360811977,NA,NA,NA,NA,NA
"46",2010-05-11,32,6.677,3.46573590279973,1.89866878487573,0.0869160938451334,0.084324301726747,NA,NA,NA,NA,NA
"47",2010-05-14,68,5.014,4.21950770517611,1.6122339997361,-0.0552189754357411,-0.0472943299353685,NA,NA,NA,NA,NA
"48",2010-05-18,68,5.935,4.21950770517611,1.78086702806163,0.113414052889789,0.121338698390162,NA,NA,NA,NA,NA
"49",2010-05-20,261,2.65,5.56452040732269,0.974559639998131,-0.357849964034004,-0.368746283818236,NA,NA,NA,NA,NA
"50",2010-05-26,92,5.423,4.52178857704904,1.69064916785892,0.0992079979808811,0.099916473887308,NA,NA,NA,NA,NA
"51",2010-06-01,23,5.228,3.13549421592915,1.65402879576198,-0.217327932062533,-0.219207927083849,NA,NA,NA,NA,NA
