Date,Precip_Inches
2010-10-23,NA
2010-10-24,NA
2010-10-25,NA
2010-10-26,NA
2010-10-27,0
2010-10-28,0
2010-10-29,0
2010-10-30,0
2010-10-31,0
2010-11-01,0
2010-11-02,0
2010-11-03,0.12
2010-11-04,0
2010-11-05,0
2010-11-06,0
2010-11-07,0
2010-11-08,0
2010-11-09,0
2010-11-10,0
2010-11-11,0
2010-11-12,0
2010-11-13,0
2010-11-14,0
2010-11-15,0
2010-11-16,0
2010-11-17,0.01
2010-11-18,0
2010-11-19,0
2010-11-20,0
2010-11-21,0
2010-11-22,0
2010-11-23,0
2010-11-24,0
2010-11-25,0
2010-11-26,0
2010-11-27,0
2010-11-28,0
2010-11-29,0
2010-11-30,0.18
2010-12-01,0
2010-12-02,0
2010-12-03,0
2010-12-04,0
2010-12-05,0
2010-12-06,0
2010-12-07,0
2010-12-08,0
2010-12-09,0
2010-12-10,0
2010-12-11,0
2010-12-12,0
2010-12-13,0
2010-12-14,0
2010-12-15,0
2010-12-16,0
2010-12-17,0
2010-12-18,0
2010-12-19,0
2010-12-20,0
2010-12-21,0
2010-12-22,0
2010-12-23,0
2010-12-24,0
2010-12-25,0
2010-12-26,0
2010-12-27,0
2010-12-28,0
2010-12-29,0
2010-12-30,0
2010-12-31,0
2011-01-04,0
2011-01-05,0
2011-01-06,0
2011-01-12,0
2011-01-13,0
2011-01-14,0
2011-01-18,0.02
2011-01-19,0
2011-01-20,0.11
2011-01-21,0.17
2011-01-25,0
2011-01-27,0
2011-01-28,0
2011-02-04,0
2011-02-07,0.03
2011-02-08,0
2011-02-15,0
2011-02-16,0
2011-02-17,0
2011-02-18,0
2011-02-22,0.06
2011-02-23,0
2011-02-24,0.01
2011-02-25,0.68
2011-02-28,1.71
2011-03-02,0
2011-03-03,0
2011-03-04,0
2011-03-07,0
2011-03-09,0.01
2011-03-10,0
2011-03-11,0
2011-03-14,1.16
2011-03-16,0
2011-03-17,0
2011-03-18,0
2011-03-21,0
2011-03-22,0
2011-03-23,0
2011-03-24,0
2011-03-28,0
2011-03-30,0.12
2011-03-31,0
2011-04-01,0.55
2011-04-04,0.19
2011-04-05,0.1
2011-04-07,0
2011-04-08,0
2011-04-11,1.48
2011-04-12,0
2011-04-13,0
2011-04-14,0
2011-04-15,0.75
2011-04-18,0
2011-04-19,0
2011-04-20,0.25
2011-04-22,1.76
2011-04-26,4.9
2011-04-27,0
2011-04-28,0.55
2011-04-29,0
2011-05-02,0.11
2011-05-03,0.48
2011-05-04,0.01
2011-05-05,0
2011-05-06,0.11
2011-05-09,0
2011-05-10,0
2011-05-11,0
2011-05-12,0.17
2011-05-13,0.37
2011-05-16,0
2011-05-19,0.13
2011-05-20,0
2011-05-23,0.82
2011-05-24,2.57
2011-05-25,0.48
2011-05-26,0.21
2011-05-27,0
2011-06-01,0
2011-06-02,0
2011-06-06,0
2011-06-08,0
2011-06-09,0
2011-06-10,0
2011-06-13,0
2011-06-14,0
2011-06-15,0.25
2011-06-17,0.11
2011-06-20,0
2011-06-21,0
2011-06-22,0
2011-06-23,0
2011-06-24,0.07
2011-06-27,0
2011-06-28,0
2011-06-29,0.22
2011-07-11,0
2011-07-12,0
2011-07-13,0.11
2011-07-14,0.25
2011-07-15,0
2011-07-19,0
2011-07-20,0
2011-07-21,0
2011-07-25,0
2011-07-26,0
2011-07-27,0
2011-07-28,0
2011-07-29,0
2011-08-01,0
2011-08-02,0
2011-08-03,0
2011-08-04,0
2011-08-05,0
2011-08-08,0
2011-08-09,0.55
2011-08-10,0.3
2011-08-11,1.05
2011-08-12,0
2011-08-16,0
2011-08-17,0.06
2011-08-18,0
2011-08-19,0
2011-08-22,0
2011-08-23,0.04
2011-08-24,0.03
2011-08-25,0
2011-08-26,0
2011-08-29,0.02
2011-08-30,0
2011-08-31,0
2011-09-01,0
2011-09-02,0
2011-09-06,0
2011-09-07,0
2011-09-09,0
2011-09-12,0
2011-09-13,0.08
2011-09-14,0
2011-09-15,0
2011-09-16,0.01
2011-09-19,1.65
2011-09-20,0
2011-09-21,0
2011-09-22,1.45
2011-09-23,0.54
2011-09-26,0
2011-09-27,0
2011-09-28,0
2011-09-29,0
2011-09-30,0
2011-10-03,0
2011-10-04,0
2011-10-05,0
2011-10-06,0
2011-10-07,0
2011-10-10,0.15
2011-10-11,0.34
2011-10-12,0.96
2011-10-17,0
2011-10-18,0.22
2011-10-20,0
2011-10-21,0
2011-10-24,0
2011-10-25,0
2011-10-27,0.3
2011-11-01,0
2011-11-02,0
2011-11-03,0.54
2011-11-04,0
2011-11-08,2.05
2011-11-09,1.55
2011-11-10,0
2011-11-14,0
2011-11-15,0.2
2011-11-17,0
2011-11-18,0
2011-11-21,0.21
2011-11-22,1.41
2011-11-28,0
2011-12-01,0
2011-12-05,0
2011-12-06,0.03
2011-12-07,0
2011-12-09,0
2011-12-12,0.01
2012-01-01,0
2012-01-02,0
2012-01-03,0
2012-01-04,0
2012-01-05,0
2012-01-06,0
2012-01-07,0
2012-01-08,0
2012-01-09,0
2012-01-10,0
2012-01-11,0.55
2012-01-12,0.01
2012-01-13,0
2012-01-14,0
2012-01-15,0
2012-01-16,0
2012-01-17,0
2012-01-18,0
2012-01-19,0
2012-01-20,0
2012-01-21,0
2012-01-22,0
2012-01-23,0
2012-01-24,0
2012-01-25,1.45
2012-01-26,0.22
2012-01-27,0
2012-01-28,0
2012-01-29,0
2012-01-30,0
2012-01-31,0
2012-02-01,0
2012-02-02,0
2012-02-03,0
2012-02-04,1.04
2012-02-05,0
2012-02-06,0
2012-02-07,0
2012-02-08,0
2012-02-09,0
2012-02-10,0.12
2012-02-11,0
2012-02-12,0
2012-02-13,0.02
2012-02-14,0.05
2012-02-15,0
2012-02-16,0.04
2012-02-17,0
2012-02-18,0
2012-02-19,0
2012-02-20,0
2012-02-21,0.23
2012-02-22,0
2012-02-23,0
2012-02-24,0
2012-02-25,0
2012-02-26,0
2012-02-27,0
2012-02-28,0
2012-02-29,0.42
2012-03-01,0
2012-03-02,0
2012-03-03,0
2012-03-04,0
2012-03-05,0
2012-03-06,0
2012-03-07,0
2012-03-08,0.05
2012-03-09,0.22
2012-03-10,0
2012-03-11,0.55
2012-03-12,0
2012-03-13,0
2012-03-14,0
2012-03-15,0
2012-03-16,0
2012-03-17,0
2012-03-18,0
2012-03-19,0
2012-03-20,1.56
2012-03-21,1.35
2012-03-22,0.55
2012-03-23,0.21
2012-03-24,0.1
2012-03-25,0.1
2012-03-26,0
2012-03-27,0
2012-03-28,0
2012-03-29,0
2012-03-30,0
2012-03-31,0
2012-04-01,0
2012-04-02,0
2012-04-03,0
2012-04-04,0.12
2012-04-05,0
2012-04-06,0
2012-04-07,0
2012-04-08,0.2
2012-04-09,0
2012-04-10,0
2012-04-11,0.04
2012-04-12,0
2012-04-13,0
2012-04-14,0
2012-04-15,0
2012-04-16,1.12
2012-04-17,0
2012-04-18,0
2012-04-19,0
2012-04-20,0.1
2012-04-21,0
2012-04-22,0
2012-04-23,0
2012-04-24,0
2012-04-25,0
2012-04-26,0
2012-04-27,0
2012-04-28,0
2012-04-29,0
2012-04-30,0.51
2012-05-01,0.55
2012-05-02,0
2012-05-03,0
2012-05-04,0
2012-05-05,0
2012-05-06,0.1
2012-05-07,0.16
2012-05-08,0
2012-05-09,0
2012-05-10,0
2012-05-11,0
2012-05-12,0
2012-05-13,0
2012-05-14,0
2012-05-15,0
2012-05-16,0
2012-05-17,0
2012-05-18,0
2012-05-19,0
2012-05-20,0
2012-05-21,0
2012-05-22,0
2012-05-23,0
2012-05-24,0
2012-05-25,0
2012-05-26,0
2012-05-27,0
2012-05-28,0
2012-05-29,0.44
2012-05-30,0
2012-05-31,0.55
2012-06-01,0.02
2012-06-02,0
2012-06-03,1.01
2012-06-04,1.09
2012-06-05,0
2012-06-06,0
2012-06-07,0
2012-06-08,0
2012-06-09,0
2012-06-10,0
2012-06-11,0
2012-06-12,0
2012-06-13,0
2012-06-14,0
2012-06-15,0
2012-06-16,0
2012-06-17,0
2012-06-18,0
2012-06-19,0
2012-06-20,0
2012-06-21,0
2012-06-22,0.42
2012-06-23,0
2012-06-24,0
2012-06-25,0
2012-06-26,0
2012-06-27,0
2012-06-28,0
2012-06-29,0
2012-06-30,0
2012-07-09,0.14
2012-07-10,0
2012-07-11,0
2012-07-12,0
2012-07-13,0
2012-07-16,0
2012-07-17,0
2012-07-18,0
2012-07-19,0
2012-07-20,0
2012-07-23,0
2012-07-24,0
2012-07-25,0
2012-07-26,0
2012-07-27,1.28
2012-07-30,0
2012-07-31,0
2012-08-02,0
2012-08-03,0
2012-08-07,0
2012-08-08,0
2012-08-09,0
2012-08-10,0
2012-08-14,0
2012-08-15,0
2012-08-16,0
2012-08-17,1
2012-08-21,0
2012-08-22,0
2012-08-23,0
2012-08-24,0
2012-08-27,2.26
2012-08-28,0
2012-08-29,0
2012-08-30,0
2012-08-31,0.22
2012-09-01,0.5
2012-09-02,0
2012-09-03,0
2012-09-04,0
2012-09-05,0
2012-09-06,0
2012-09-07,0
2012-09-08,1.25
2012-09-09,0
2012-09-10,0
2012-09-11,0
2012-09-12,0
2012-09-13,0
2012-09-14,0
2012-09-15,0.56
2012-09-16,0.36
2012-09-17,0.11
2012-09-18,0
2012-09-19,0
2012-09-20,0
2012-09-21,0
2012-09-22,0
2012-09-23,0
2012-09-24,0
2012-09-25,0
2012-09-26,0
2012-09-27,0.12
2012-09-28,0
2012-09-29,0
2012-09-30,0
2012-10-01,0
2012-10-02,0
2012-10-03,0
2012-10-04,0
2012-10-05,0
2012-10-08,0
2012-10-10,0
2012-10-12,0
2012-10-19,0
2012-10-20,0
2012-10-22,0
2012-10-23,0.08
2012-10-24,0
2012-10-25,0
2012-10-26,0.1
2012-10-29,0
2012-10-31,0
2012-11-01,0
2012-11-02,0
2012-11-03,0
2012-11-04,0
2012-11-05,0
2012-11-06,0
2012-11-07,0
2012-11-08,0
2012-11-09,0
2012-11-10,0
2012-11-11,0
2012-11-12,0.74
2012-11-13,0
2012-11-14,0
2012-11-15,0
2012-11-16,0
2012-11-17,0
2012-11-18,0
2012-11-19,0.12
2012-11-20,0
2012-11-21,0
2012-11-22,0
2012-11-23,0
2012-11-24,0
2012-11-25,0
2012-11-26,0
2012-11-27,0.03
2012-11-28,0
2012-11-29,0
2012-11-30,0
2012-12-03,0
2012-12-04,1.7
2012-12-05,0
2012-12-06,0
2012-12-07,0
2012-12-10,0
2012-12-12,0
2012-12-14,0
2012-12-17,0
2012-12-21,0
2013-01-02,0
2013-01-03,0
2013-01-04,0
2013-01-07,0
2013-01-08,0
2013-01-09,0.04
2013-01-10,0.01
2013-01-11,0.06
2013-01-14,0
2013-01-15,0
2013-01-16,0
2013-01-17,0
2013-01-18,0
2013-01-22,0
2013-01-24,0
2013-01-25,0
2013-01-29,0
2013-01-30,2.47
2013-01-31,0
2013-02-01,0
2013-02-04,0
2013-02-05,0.05
2013-02-06,0
2013-02-07,0
2013-02-08,0.27
2013-02-11,0
2013-02-12,0
2013-02-13,0.32
2013-02-14,0
2013-02-15,0
2013-02-18,0
2013-02-19,0.13
2013-02-20,0
2013-02-21,0.05
2013-02-22,0.84
2013-02-25,0
2013-02-26,0.45
2013-02-27,0.06
2013-03-01,0
2013-03-02,0
2013-03-03,0
2013-03-04,0
2013-03-05,0.01
2013-03-06,0
2013-03-07,0
2013-03-08,0
2013-03-09,0
2013-03-10,0
2013-03-11,1.9
2013-03-12,0
2013-03-13,0
2013-03-14,0
2013-03-15,0
2013-03-16,0
2013-03-17,0.11
2013-03-18,0
2013-03-19,0
2013-03-20,0
2013-03-21,0
2013-03-22,0.8
2013-03-23,0
2013-03-24,0
2013-03-25,0.1
2013-03-26,0
2013-03-27,0
2013-03-28,0
2013-03-29,0.35
2013-03-30,0
2013-03-31,1
2013-04-01,0
2013-04-02,0.04
2013-04-03,0.5
2013-04-04,0.12
2013-04-05,0
2013-04-08,0.12
2013-04-09,0
2013-04-10,0.82
2013-04-11,1.12
2013-04-12,0
2013-04-15,0
2013-04-16,0
2013-04-17,0
2013-04-18,2.75
2013-04-23,0
2013-04-24,0.08
2013-04-25,0
2013-04-26,0.15
2013-04-29,0
2013-04-30,0
2013-05-01,0
2013-05-02,0
2013-05-03,0.58
2013-05-04,0.21
2013-05-05,0.19
2013-05-06,0
2013-05-07,0
2013-05-08,0
2013-05-09,0.03
2013-05-10,3.15
2013-05-11,0.37
2013-05-12,0
2013-05-13,0
2013-05-14,0
2013-05-15,0
2013-05-16,0.74
2013-05-17,0.54
2013-05-18,0
2013-05-19,0
2013-05-20,0
2013-05-21,0.98
2013-05-22,1.58
2013-05-23,0
2013-05-24,0
2013-05-25,0
2013-05-26,0
2013-05-27,0
2013-05-28,0
2013-05-29,0
2013-05-30,0.41
2013-05-31,1.72
2013-06-03,0
2013-06-04,0
2013-06-05,0
2013-06-06,0.45
2013-06-12,0
2013-06-13,0
2013-06-17,0.35
2013-06-18,0.18
2013-06-19,0
2013-06-20,0
2013-06-21,0
2013-06-24,0
2013-06-25,0
2013-06-26,0
2013-06-28,0
2013-07-03,0
2013-07-10,0
2013-07-11,0
2013-07-12,0
2013-07-15,0
2013-07-17,0.3
2013-07-18,0
2013-07-19,0
2013-07-22,0
2013-07-24,1.4
2013-07-25,0
2013-07-26,0
2013-07-29,0
2013-07-30,0.26
2013-07-31,0.55
2013-08-01,0
2013-08-02,0
2013-08-03,1.3
2013-08-04,0.35
2013-08-05,0
2013-08-06,0
2013-08-07,0
2013-08-08,2.4
2013-08-09,0.6
2013-08-10,0.15
2013-08-11,0
2013-08-12,0
2013-08-13,0.67
2013-08-14,0.62
2013-08-15,0
2013-08-16,0
2013-08-17,0
2013-08-18,0
2013-08-19,0
2013-08-20,0
2013-08-21,0
2013-08-22,0
2013-08-23,0
2013-08-24,0
2013-08-25,0
2013-08-26,0
2013-08-27,0
2013-08-28,0
2013-08-29,0
2013-08-30,0
2013-08-31,0
2013-09-01,0.02
2013-09-02,0
2013-09-03,0
2013-09-04,0
2013-09-05,0
2013-09-06,0
2013-09-07,0
2013-09-08,0
2013-09-09,0
2013-09-10,0
2013-09-11,0
2013-09-12,0.01
2013-09-13,0
2013-09-14,0
2013-09-15,0
2013-09-16,0
2013-09-17,0
2013-09-18,0
2013-09-19,0
2013-09-20,3
2013-09-21,0
2013-09-22,0
2013-09-23,0
2013-09-24,0
2013-09-25,0
2013-09-26,0
2013-09-27,0
2013-09-28,0
2013-09-29,0.98
2013-09-30,0
2013-10-01,0
2013-10-03,0
2013-10-04,0
2013-10-07,0
2013-10-08,0
2013-10-09,0
2013-10-11,0
2013-10-22,0.24
2013-10-23,0
2013-10-24,0
2013-10-25,0
2013-10-28,0
2013-10-29,0
2013-10-30,0.1
2013-10-31,0.9
2013-11-01,0.27
2013-11-04,0
2013-11-05,0.5
2013-11-06,0.36
2013-11-07,0
2013-11-08,0
2013-11-11,0
2013-11-12,0
2013-11-13,0
2013-11-18,0
2013-11-19,0
2013-11-20,0
2013-11-21,1.05
2013-11-22,0.35
2013-11-25,0
2013-11-26,0
2013-11-27,0
2013-12-01,0
2013-12-02,0
2013-12-03,0
2013-12-04,0
2013-12-05,0
2013-12-06,0
2013-12-07,0
2013-12-08,0
2013-12-09,0
2013-12-10,0
2013-12-11,0
2013-12-12,0
2013-12-13,0.01
2013-12-14,0.76
2013-12-15,0.19
2013-12-16,0
2013-12-17,0
2013-12-18,0
2013-12-19,0
2013-12-20,0
2013-12-21,2.53
2013-12-22,0
2013-12-23,0
2013-12-24,0
2013-12-25,0
2013-12-26,0
2013-12-27,0
2013-12-28,0
2013-12-29,0
2013-12-30,0
2013-12-31,0
